episode,reward,steps,score_foods
0,-1.22,23,0
1,-1.05,6,0
2,-1.23,24,0
3,-0.22000000000000008,23,1
4,-1.06,7,0
5,-0.33000000000000007,34,1
6,-1.19,20,0
7,-0.20000000000000007,21,1
8,-1.24,25,0
9,-1.06,7,0
10,-1.17,18,0
11,0.8399999999999999,17,2
12,-1.1099999999999999,12,0
13,-1.29,30,0
14,-1.07,8,0
15,-1.5900000000000003,60,0
16,-1.4800000000000002,49,0
17,-1.1199999999999999,13,0
18,-0.14,15,1
19,-1.06,7,0
20,-1.1,11,0
21,-1.24,25,0
22,-1.22,23,0
23,-1.08,9,0
24,-1.09,10,0
25,-1.16,17,0
26,-1.1099999999999999,12,0
27,-1.25,26,0
28,-1.35,36,0
29,-1.09,10,0
30,-1.16,17,0
31,-1.1099999999999999,12,0
32,-0.17000000000000015,18,1
33,-1.05,6,0
34,-1.17,18,0
35,-1.17,18,0
36,-0.2300000000000001,24,1
37,-0.7700000000000005,78,1
38,-1.13,14,0
39,-1.1099999999999999,12,0
40,-1.06,7,0
41,-1.07,8,0
42,-1.17,18,0
43,-1.18,19,0
44,-0.22000000000000008,23,1
45,-1.1099999999999999,12,0
46,-1.26,27,0
47,-0.07000000000000006,8,1
48,-1.5400000000000003,55,0
49,-1.15,16,0
50,-1.27,28,0
51,-1.07,8,0
52,-1.8900000000000006,90,0
53,-1.16,17,0
54,-0.10999999999999999,12,1
55,-1.6900000000000004,70,0
56,-1.18,19,0
57,-0.5100000000000002,52,1
58,-1.27,28,0
59,-1.26,27,0
60,-1.16,17,0
61,-0.2500000000000001,26,1
62,-0.33000000000000007,34,1
63,-0.28000000000000014,29,1
64,-1.28,29,0
65,-1.37,38,0
66,-1.19,20,0
67,-1.23,24,0
68,-0.2500000000000001,26,1
69,-1.17,18,0
70,-1.15,16,0
71,-1.26,27,0
72,-1.1,11,0
73,-0.30000000000000016,31,1
74,-1.4200000000000002,43,0
75,-1.5400000000000003,55,0
76,-1.16,17,0
77,-0.16000000000000003,17,1
78,-1.32,33,0
79,-1.7100000000000004,72,0
80,-1.5400000000000003,55,0
81,-0.10999999999999999,12,1
82,-1.07,8,0
83,-2.040000000000001,105,0
84,-0.29000000000000015,30,1
85,-1.1,11,0
86,-2.080000000000001,109,0
87,-0.09000000000000008,10,1
88,-1.5000000000000002,51,0
89,-0.5400000000000003,55,1
90,-1.1099999999999999,12,0
91,-0.13000000000000012,14,1
92,-1.25,26,0
93,-1.22,23,0
94,-1.07,8,0
95,-1.33,34,0
96,-1.1099999999999999,12,0
97,-1.35,36,0
98,0.5599999999999998,45,2
99,-1.16,17,0
100,-1.5500000000000003,56,0
101,-0.3600000000000001,37,1
102,-0.3700000000000001,38,1
103,0.8299999999999998,18,2
104,-1.19,20,0
105,0.5999999999999996,41,2
106,-0.18000000000000005,19,1
107,-1.32,33,0
108,-1.28,29,0
109,-0.20000000000000007,21,1
110,-1.23,24,0
111,-0.4800000000000002,49,1
112,-0.33000000000000007,34,1
113,-1.05,6,0
114,-0.3500000000000002,36,1
115,-0.08000000000000007,9,1
116,-0.21000000000000008,22,1
117,-1.4300000000000002,44,0
118,-0.2600000000000001,27,1
119,-0.10000000000000009,11,1
120,-1.1199999999999999,13,0
121,-0.44000000000000017,45,1
122,-0.3500000000000001,36,1
123,0.8099999999999998,20,2
124,-1.06,7,0
125,0.5299999999999996,48,2
126,-1.26,27,0
127,-0.09000000000000008,10,1
128,-0.2200000000000002,23,1
129,0.7799999999999998,23,2
130,-1.15,16,0
131,-1.24,25,0
132,0.6999999999999997,31,2
133,-0.2600000000000001,27,1
134,-1.18,19,0
135,-1.22,23,0
